
## FlyBase Gene Mapping Table
## Generated: Sat Apr  6 20:50:14 2024
## Using datasource: dbi:Pg:dbname=fb_2024_02_reporting;host=flysql25;port=5432...

##organism_abbreviation	current_symbol	primary_FBid	recombination_loc	cytogenetic_loc	sequence_loc
Dmel	atl	FBgn0039213	3-85	96A13-96A13	3R:24625671..24634714(1)
Dmel	puf	FBgn0039214	3-85	96A13-96A13	3R:24635270..24650043(-1)
Dmel	CG6695	FBgn0039215	3-85	96A14-96A14	3R:24655160..24659379(1)
Dmel	CG13627	FBgn0039217	3-85	96A17-96A18	3R:24712780..24717430(1)
Dmel	Polr2L	FBgn0039218	3-85	96A18-96A18	3R:24717511..24717998(1)
Dmel	CG13630	FBgn0039219	3-85	96A18-96A18	3R:24717937..24719364(-1)
Dmel	CG5805	FBgn0039223	3-85	96A22-96A22	3R:24784552..24787421(-1)
Dmel	CG13634	FBgn0039224	3-85	96A22-96A22	3R:24788248..24790136(-1)
Dmel	Ets96B	FBgn0039225	3-85	96A22-96A22	3R:24788054..24797955(1)
Dmel	Ude	FBgn0039226	3-85	96A22-96A22	3R:24797460..24799668(-1)
Dmel	polybromo	FBgn0039227	3-85	96A22-96A23	3R:24799967..24805259(-1)
Dmel	CG6980	FBgn0039228	3-85	96A23-96A23	3R:24807621..24808677(1)
Dmel	Saf-B	FBgn0039229	3-85	96A23-96A23	3R:24817464..24822350(1)
Dmel	sosie	FBgn0039232	3-85	96A24-96A25	3R:24833952..24840488(1)
Dmel	CG7006	FBgn0039233	3-86	96B1-96B1	3R:24850627..24851385(1)
Dmel	Nct	FBgn0039234	3-86	96B1-96B1	3R:24851601..24854869(1)
Dmel	CAH4	FBgn0039235	3-86	96B1-96B1	3R:24856383..24857559(-1)
Dmel	CG13640	FBgn0039237	3-86	96B1-96B1	3R:24861659..24862165(-1)
Dmel	CG7016	FBgn0039238	3-86	96B1-96B1	3R:24862931..24864216(1)
Dmel	Srg1	FBgn0039239	3-86	96B1-96B1	3R:24864191..24864732(-1)
Dmel	CG3744	FBgn0039240	3-86	96B2-96B2	3R:24871202..24876654(-1)
Dmel	CG11089	FBgn0039241	3-86	96B2-96B2	3R:24877045..24881478(1)
Dmel	CG11069	FBgn0039244	3-86	96B4-96B4	3R:24894742..24897613(1)
Dmel	CG10845	FBgn0039246	3-86	96B4-96B5	3R:24901116..24903048(1)
Dmel	CG11168	FBgn0039249	3-86	96B6-96B8	3R:24918106..24922385(1)
Dmel	Mink	FBgn0039250	3-86	96B8-96B9	3R:24922473..24925160(1)
Dmel	Trf4-2	FBgn0039251	3-86	96B9-96B9	3R:24925216..24927085(1)
Dmel	CG11771	FBgn0039252	3-86	96B10-96B10	3R:24932010..24934919(1)
Dmel	Nmnat	FBgn0039254	3-86	96B11-96B11	3R:24945237..24947400(1)
Dmel	CG13647	FBgn0039256		96B13-96B13	
Dmel	tnc	FBgn0039257	3-86	96B15-96B15	3R:24984384..25022867(1)
Dmel	beta4GalT7	FBgn0039258	3-86	96B16-96B16	3R:25023256..25024482(1)
Dmel	EMC6	FBgn0039259	3-86	96B16-96B16	3R:25024473..25025017(-1)
Dmel	Smg6	FBgn0039260	3-86	96B17-96B17	3R:25029429..25033465(-1)
Dmel	Ythdf	FBgn0039261	3-86	96B17-96B17	3R:25033876..25039249(-1)
Dmel	CG11786	FBgn0039264	3-86	96B18-96B18	3R:25046323..25047409(1)
Dmel	CG11790	FBgn0039265	3-86	96B18-96B19	3R:25047706..25049455(1)
Dmel	CG11791	FBgn0039266	3-86	96B19-96B19	3R:25049616..25053074(1)
Dmel	veli	FBgn0039269	3-86	96B19-96B19	3R:25064418..25065591(-1)
Dmel	PQBP1	FBgn0039270	3-86	96B19-96B19	3R:25065791..25066718(1)
Dmel	CG11839	FBgn0039271	3-86	96B20-96B20	3R:25069927..25070914(1)
Dmel	CG11836	FBgn0039272	3-86	96B20-96B20	3R:25071126..25072712(1)
Dmel	shams	FBgn0039273	3-86	96B20-96B20	3R:25072729..25074607(-1)
Dmel	CG11920	FBgn0039274	3-86	96B20-96B20	3R:25074877..25076382(1)
Dmel	Nepl16	FBgn0039277	3-87	96C1-96C1	3R:25109226..25112516(-1)
Dmel	Mocs2B	FBgn0039280	3-87	96C1-96C1	3R:25125632..25127359(-1)
Dmel	Bili	FBgn0039282	3-87	96C1-96C1	3R:25131306..25136709(1)
Dmel	danr	FBgn0039283	3-87	96C2-96C2	3R:25138072..25139903(1)
Dmel	CG13652	FBgn0039284		96C2-96C2	
Dmel	dan	FBgn0039286	3-87	96C3-96C4	3R:25184383..25192806(1)
Dmel	CG13653	FBgn0039288	3-87	96C4-96C4	3R:25195527..25196531(1)
Dmel	CG13654	FBgn0039290	3-87	96C5-96C5	3R:25199818..25214255(1)
Dmel	Saysd1	FBgn0039291	3-87	96C5-96C5	3R:25214325..25215188(-1)
Dmel	Alg9	FBgn0039293	3-87	96C6-96C7	3R:25221589..25224118(1)
Dmel	Cad96Cb	FBgn0039294	3-87	96C7-96C7	3R:25224156..25232321(-1)
Dmel	Sil1	FBgn0039296	3-87	96C7-96C7	3R:25233636..25235529(-1)
Dmel	Jhbp7	FBgn0039297	3-87	96C7-96C7	3R:25237614..25238895(1)
Dmel	to	FBgn0039298	3-87	96C7-96C7	3R:25240180..25241668(1)
Dmel	CG11854	FBgn0039299	3-87	96C7-96C7	3R:25242020..25243262(1)
Dmel	RpS27	FBgn0039300	3-87	96C8-96C8	3R:25245955..25247514(-1)
Dmel	Nup37	FBgn0039301	3-87	96C8-96C8	3R:25247658..25249100(1)
Dmel	Nup358	FBgn0039302	3-87	96C8-96C8	3R:25249348..25258672(1)
Dmel	Rer1	FBgn0039303	3-87	96C8-96C8	3R:25258898..25260759(1)
Dmel	Kdsr	FBgn0039304	3-87	96C8-96C8	3R:25260963..25262498(-1)
Dmel	CG11858	FBgn0039305	3-87	96C8-96C8	3R:25262741..25263292(1)
Dmel	RIOK2	FBgn0039306	3-87	96C8-96C8	3R:25265844..25267757(1)
Dmel	CR13656	FBgn0039307	3-87	96C8-96C8	3R:25268661..25269965(1)
Dmel	CG11889	FBgn0039308	3-87	96C8-96C8	3R:25270209..25273267(1)
Dmel	CG11891	FBgn0039309	3-87	96C8-96C8	3R:25270209..25273267(1)
Dmel	CG11878	FBgn0039310	3-87	96C8-96C8	3R:25273837..25275237(1)
Dmel	CG10513	FBgn0039311	3-87	96C9-96C9	3R:25275790..25277212(-1)
Dmel	CG10514	FBgn0039312	3-87	96C9-96C9	3R:25278427..25279846(-1)
Dmel	CG11892	FBgn0039313	3-87	96C9-96C9	3R:25281548..25283237(1)
Dmel	CG13658	FBgn0039315	3-87	96C9-96C9	3R:25287474..25288930(1)
Dmel	CG11893	FBgn0039316	3-87	96C9-96C9	3R:25289889..25291366(1)
Dmel	CG13659	FBgn0039319	3-87	96D1-96D1	3R:25300891..25302317(1)
Dmel	CG10550	FBgn0039321	3-87	96D1-96D1	3R:25306407..25308391(-1)
Dmel	CG10559	FBgn0039323	3-87	96D1-96D1	3R:25314494..25316116(-1)
Dmel	CG10553	FBgn0039324	3-87	96D1-96D1	3R:25316461..25318111(-1)
Dmel	CG10560	FBgn0039325	3-87	96D1-96D1	3R:25318550..25320101(-1)
Dmel	CG10562	FBgn0039326	3-87	96D1-96D1	3R:25321053..25322757(-1)
Dmel	CHKov2	FBgn0039328	3-87	96D1-96D1	3R:25329530..25331203(-1)
Dmel	CG10669	FBgn0039329	3-87	96D1-96D1	3R:25331363..25335243(-1)
Dmel	ND-49L	FBgn0039331	3-87	96D2-96D2	3R:25358285..25360034(1)
Dmel	alrm	FBgn0039332	3-87	96D2-96D3	3R:25381065..25382781(-1)
Dmel	CG11917	FBgn0039333			
Dmel	Vps33B	FBgn0039335	3-88	96E1-96E1	3R:25473490..25475756(1)
Dmel	CG4553	FBgn0039336	3-88	96E1-96E1	3R:25475636..25476915(-1)
Dmel	MED28	FBgn0039337	3-88	96E1-96E1	3R:25477003..25477745(1)
Dmel	XNP	FBgn0039338	3-88	96E1-96E2	3R:25477868..25482834(-1)
Dmel	CG5116	FBgn0039339	3-88	96E2-96E2	3R:25483098..25485855(1)
Dmel	CG5112	FBgn0039341	3-88	96E2-96E2	3R:25491460..25493262(1)
Dmel	CG5107	FBgn0039342	3-88	96E2-96E2	3R:25505191..25505931(1)
Dmel	CG5111	FBgn0039343	3-88	96E2-96E2	3R:25506275..25508279(1)
Dmel	CG4582	FBgn0039344	3-88	96E4-96E4	3R:25581223..25583179(-1)
Dmel	CG5079	FBgn0039346	3-88	96E4-96E5	3R:25613666..25614451(1)
Dmel	CG5071	FBgn0039347	3-88	96E5-96E5	3R:25618414..25621838(1)
Dmel	Npl4	FBgn0039348	3-88	96E4-96E6	3R:25611013..25624662(-1)
Dmel	Ssadh	FBgn0039349	3-88	96E6-96E6	3R:25624805..25626924(-1)
Dmel	jigr1	FBgn0039350	3-88	96E6-96E6	3R:25637843..25651874(1)
Dmel	Lgr3	FBgn0039354	3-88	96E8-96E9	3R:25665809..25677214(1)
Dmel	CG4730	FBgn0039355	3-88	96E9-96E9	3R:25677072..25678682(-1)
Dmel	CG5039	FBgn0039356	3-88	96E9-96E9	3R:25678683..25679529(1)
Dmel	CG4743	FBgn0039357	3-88	96E9-96E9	3R:25679242..25680550(-1)
Dmel	Idh3g	FBgn0039358	3-88	96E9-96E9	3R:25680845..25683780(1)
Dmel	RpL27	FBgn0039359	3-88	96E9-96E10	3R:25683623..25685051(-1)
Dmel	CLS	FBgn0039360	3-88	96E10-96E10	3R:25685236..25687370(-1)
Dmel	CG17198	FBgn0039366	3-89	96F2-96F2	3R:25773334..25775369(-1)
Dmel	CG17197	FBgn0039367	3-89	96F2-96F2	3R:25773334..25775369(-1)
Dmel	CG17196	FBgn0039368	3-89	96F2-96F2	3R:25775288..25776237(-1)
Dmel	CG17195	FBgn0039369	3-89	96F2-96F2	3R:25776276..25777198(-1)
Dmel	CG4956	FBgn0039370	3-89	96F2-96F2	3R:25777268..25778305(-1)
Dmel	CG4960	FBgn0039371	3-89	96F3-96F3	3R:25786329..25787298(-1)
Dmel	CG5024	FBgn0039373	3-89	96F3-96F3	3R:25811096..25811775(1)
Dmel	CG17770	FBgn0039374	3-89	96F3-96F3	3R:25811911..25813134(1)
Dmel	CG14354	FBgn0039376	3-89	96F3-96F3	3R:25815479..25816574(1)
Dmel	alpha4GT2	FBgn0039378	3-89	96F3-96F3	3R:25832230..25842878(1)
Dmel	CG5886	FBgn0039379	3-89	96F3-96F4	3R:25851632..25853989(1)
Dmel	CG5890	FBgn0039380	3-89	96F5-96F5	3R:25856154..25872670(1)
Dmel	SppL	FBgn0039381	3-89	96F5-96F6	3R:25881984..25888230(1)
Dmel	CG5913	FBgn0039385	3-89	96F6-96F6	3R:25893495..25895026(1)
Dmel	Sodq	FBgn0039386	3-89	96F6-96F7	3R:25895822..25897174(1)
Dmel	Mco3	FBgn0039387	3-89	96F7-96F7	3R:25897476..25899744(1)
Dmel	CG14546	FBgn0039395	3-89	96F8-96F8	3R:25921042..25922634(-1)
Dmel	CCAP-R	FBgn0039396	3-89	96F8-96F8	3R:25923499..25956270(-1)
Dmel	CG14540	FBgn0039398	3-89	96F8-96F8	3R:25959279..25961686(1)
Dmel	Vps2	FBgn0039402	3-89	96F10-96F10	3R:26052821..26054128(1)
Dmel	Sld5	FBgn0039403	3-89	96F10-96F10	3R:26055657..26056547(-1)
Dmel	CG14543	FBgn0039404	3-89	96F10-96F10	3R:26056630..26057350(1)
Dmel	PIG-P	FBgn0039405	3-89	96F10-96F10	3R:26057347..26058223(-1)
Dmel	RpL34a	FBgn0039406	3-89	96F10-96F10	3R:26058420..26059267(-1)
Dmel	Trmt61	FBgn0039407	3-89	96F10-96F10	3R:26059496..26061293(1)
Dmel	CG14551	FBgn0039408	3-89	96F10-96F10	3R:26061268..26063011(-1)
Dmel	dysf	FBgn0039411	3-89	96F12-96F14	3R:26076592..26098711(-1)
Dmel	CG14556	FBgn0039413	3-90	97A1-97A1	3R:26126659..26127868(1)
Dmel	CG6142	FBgn0039415	3-90	97A1-97A1	3R:26133154..26137148(1)
Dmel	CG6073	FBgn0039417	3-90	97A4-97A4	3R:26187018..26188807(-1)
Dmel	CG12290	FBgn0039419	3-90	97A6-97A6	3R:26230248..26234700(1)
Dmel	CG6154	FBgn0039420	3-90	97A7-97A7	3R:26262662..26277050(1)
Dmel	Nil	FBgn0039421	3-90	97A9-97A9	3R:26344290..26345473(-1)
Dmel	ppk15	FBgn0039424	3-91	97B1-97B1	3R:26401909..26403656(-1)
Dmel	Ald2	FBgn0039425	3-91	97B2-97B2	3R:26414088..26416192(1)
Dmel	CG5447	FBgn0039427	3-91	97B3-97B3	3R:26452534..26454585(1)
Dmel	CG14237	FBgn0039428	3-91	97B3-97B3	3R:26456877..26457242(1)
Dmel	CG14238	FBgn0039429	3-91	97B3-97B3	3R:26458249..26460981(1)
Dmel	CG5455	FBgn0039430	3-91	97B4-97B4	3R:26461527..26470008(1)
Dmel	plum	FBgn0039431	3-91	97B4-97B5	3R:26470078..26535217(-1)
Dmel	TwdlM	FBgn0039434	3-91	97C2-97C2	3R:26619118..26620224(1)
Dmel	TwdlP	FBgn0039435	3-91	97C2-97C2	3R:26620608..26621364(-1)
Dmel	TwdlB	FBgn0039436	3-91	97C2-97C2	3R:26622451..26623543(-1)
Dmel	TwdlL	FBgn0039437	3-91	97C2-97C2	3R:26624587..26625652(-1)
Dmel	TwdlO	FBgn0039438	3-91	97C2-97C2	3R:26625932..26626738(-1)
Dmel	TwdlK	FBgn0039439	3-91	97C2-97C2	3R:26627885..26628724(-1)
Dmel	TwdlJ	FBgn0039440	3-91	97C2-97C2	3R:26629918..26630825(1)
Dmel	TwdlN	FBgn0039441	3-91	97C2-97C2	3R:26631869..26632956(1)
Dmel	TwdlS	FBgn0039443	3-91	97C2-97C2	3R:26636688..26637557(1)
Dmel	TwdlD	FBgn0039444	3-91	97C3-97C3	3R:26640025..26641054(1)
Dmel	TwdlQ	FBgn0039448	3-91	97C4-97C4	3R:26692546..26693590(-1)
Dmel	CG6425	FBgn0039449	3-91	97C5-97C5	3R:26715165..26717389(-1)
Dmel	Wdr20	FBgn0039451	3-91	97C5-97C5	3R:26719847..26725216(-1)
Dmel	CG14245	FBgn0039452	3-91	97C5-97C5	3R:26728727..26729341(1)
Dmel	CG6403	FBgn0039453	3-92	97D1-97D1	3R:26735417..26736307(-1)
Dmel	CG14247	FBgn0039454	3-92	97D1-97D1	3R:26737610..26738593(1)
Dmel	IntS12	FBgn0039459	3-92	97D3-97D3	3R:26863376..26864559(1)
Dmel	CG5500	FBgn0039461	3-92	97D4-97D5	3R:26876630..26880459(1)
Dmel	CG14252	FBgn0039462	3-92	97D9-97D9	3R:26945534..26947248(1)
Dmel	Spag1	FBgn0039463	3-92	97D9-97D10	3R:26947830..26949682(1)
Dmel	CG6330	FBgn0039464	3-92	97D10-97D11	3R:26949692..26958491(-1)
Dmel	Tsp97E	FBgn0039465	3-92	97D11-97D11	3R:26961064..26964817(-1)
Dmel	CG5521	FBgn0039466	3-92	97D11-97D11	3R:26966930..26977878(1)
Dmel	CG14253	FBgn0039467	3-92	97D12-97D12	3R:26978541..26985706(1)
Dmel	TwdlC	FBgn0039469	3-92	97D12-97D12	3R:26994832..26996442(1)
Dmel	CG6296	FBgn0039470	3-92	97D12-97D13	3R:27003236..27005469(-1)
Dmel	CG6295	FBgn0039471	3-92	97D13-97D13	3R:27005899..27007055(-1)
Dmel	CG17192	FBgn0039472	3-92	97D14-97D14	3R:27017180..27018287(-1)
Dmel	CG17191	FBgn0039473	3-92	97D14-97D14	3R:27018608..27019751(-1)
Dmel	CG6283	FBgn0039474	3-92	97D14-97D14	3R:27020238..27021378(-1)
Dmel	CG6277	FBgn0039475	3-92	97D14-97D14	3R:27022071..27023217(-1)
Dmel	CG6271	FBgn0039476	3-92	97D14-97D14	3R:27024968..27026109(-1)
Dmel	Nep5	FBgn0039478	3-92	97E1-97E1	3R:27057908..27064199(-1)
Dmel	CG14257	FBgn0039479	3-92	97E1-97E1	3R:27075870..27082818(1)
Dmel	Cpr97Ea	FBgn0039480	3-92	97E1-97E1	3R:27083130..27087778(-1)
Dmel	Cpr97Eb	FBgn0039481	3-92	97E2-97E2	3R:27089704..27091130(-1)
Dmel	CG14258	FBgn0039482	3-92	97E2-97E2	3R:27093143..27094224(1)
Dmel	CG14259	FBgn0039483	3-92	97E2-97E2	3R:27094533..27095856(1)
Dmel	Jhbp11	FBgn0039485	3-92	97E2-97E2	3R:27101230..27102917(1)
Dmel	CAH9	FBgn0039486	3-92	97E2-97E2	3R:27102988..27106184(-1)
Dmel	gb	FBgn0039487	3-92	97E2-97E2	3R:27108467..27112270(-1)
Dmel	CG6066	FBgn0039488	3-92	97E2-97E2	3R:27115152..27116707(-1)
Dmel	CG5880	FBgn0039489	3-92	97E2-97E2	3R:27116745..27118532(1)
Dmel	CG5882	FBgn0039490	3-92	97E2-97E3	3R:27118646..27121590(1)
Dmel	CG6059	FBgn0039491	3-92	97E3-97E3	3R:27121618..27124688(-1)
Dmel	CG6051	FBgn0039492	3-92	97E3-97E3	3R:27124759..27151069(-1)
Dmel	grass	FBgn0039494	3-92	97E5-97E5	3R:27157948..27159781(1)
Dmel	CG5909	FBgn0039495	3-92	97E5-97E5	3R:27161158..27162911(1)
Dmel	CG17991	FBgn0039498	3-92	97E10-97E10	3R:27241267..27242330(1)
Dmel	CG5984	FBgn0039500	3-92	97E10-97E10	3R:27246403..27247992(-1)
Dmel	TTLL6B	FBgn0039501	3-92	97E11-97E11	3R:27248234..27251007(-1)
Dmel	CG14262	FBgn0039503	3-93	97E11-97F1	3R:27264374..27265430(-1)
Dmel	CG14260	FBgn0039504	3-93	97F1-97F1	3R:27265457..27266423(1)
Dmel	CG5934	FBgn0039505	3-93	97F1-97F1	3R:27273705..27274565(1)
Dmel	mrt	FBgn0039507	3-93	97F1-97F1	3R:27277249..27282661(-1)
Dmel	CG3368	FBgn0039508	3-93	97F1-97F1	3R:27283780..27287448(1)
Dmel	bigmax	FBgn0039509	3-93	97F1-97F1	3R:27287366..27288526(-1)
Dmel	CG3339	FBgn0039510	3-93	97F1-97F2	3R:27294286..27322325(-1)
Dmel	CG3330	FBgn0039511	3-93	97F3-97F3	3R:27329693..27330882(-1)
Dmel	CG13978	FBgn0039518	3-94	98A1-98A2	3R:27464189..27467080(1)
Dmel	Cyp6a18	FBgn0039519	3-94	98A2-98A2	3R:27478675..27482904(1)
Dmel	Gr98a	FBgn0039520	3-94	98A2-98A2	3R:27487927..27489968(1)
Dmel	CG5402	FBgn0039521	3-94	98A3-98A3	3R:27502090..27502956(-1)
Dmel	CG13972	FBgn0039522	3-94	98A3-98A3	3R:27515911..27517257(-1)
Dmel	CG12885	FBgn0039523	3-94	98A4-98A4	3R:27520866..27533934(1)
Dmel	CG5646	FBgn0039525	3-94	98A6-98A6	3R:27559379..27561319(-1)
Dmel	CG5639	FBgn0039527	3-94	98A8-98A9	3R:27586474..27596130(-1)
Dmel	dsd	FBgn0039528	3-94	98A10-98A10	3R:27597563..27607396(-1)
Dmel	CG5612	FBgn0039529	3-94	98A11-98A12	3R:27623359..27626011(-1)
Dmel	Tusp	FBgn0039530	3-94	98A12-98A12	3R:27607879..27634932(1)
Dmel	CG5611	FBgn0039531	3-94	98A12-98A13	3R:27634625..27636060(-1)
Dmel	Mtl	FBgn0039532	3-94	98A13-98A13	3R:27636412..27639871(1)
Dmel	unc80	FBgn0039536	3-94	98A15-98B1	3R:27662439..27677099(1)
Dmel	Hsdl2	FBgn0039537	3-94	98B1-98B1	3R:27677522..27679013(1)
Dmel	CG12883	FBgn0039538	3-94	98B1-98B1	3R:27679291..27680336(1)
Dmel	CROT	FBgn0039543	3-94	98B2-98B2	3R:27703379..27706751(-1)
Dmel	CG12877	FBgn0039544	3-94	98B2-98B2	3R:27707100..27710857(1)
Dmel	Or98a	FBgn0039551	3-94	98B4-98B4	3R:27845950..27847260(1)
Dmel	CG12426	FBgn0039552	3-94	98B5-98B5	3R:27871501..27872390(-1)
Dmel	CG5003	FBgn0039554	3-94	98B5-98B6	3R:27913777..27916516(-1)
Dmel	mRpS22	FBgn0039555	3-94	98B6-98B6	3R:27916908..27918248(1)
Dmel	CG12259	FBgn0039557	3-94	98B6-98B6	3R:27919844..27921089(-1)
Dmel	BCAS2	FBgn0039558	3-94	98B6-98B6	3R:27921283..27922356(-1)
Dmel	NSD	FBgn0039559	3-94	98B6-98B6	3R:27932982..27937853(-1)
Dmel	BOD1	FBgn0039560	3-94	98B6-98B6	3R:27938245..27942778(1)
Dmel	mfrn	FBgn0039561	3-94	98B6-98B6	3R:27942796..27948021(-1)
Dmel	Gp93	FBgn0039562	3-94	98B6-98B6	3R:27948711..27952151(1)
Dmel	CG4951	FBgn0039563	3-94	98B6-98B6	3R:27952051..27954112(-1)
Dmel	Nep7	FBgn0039564	3-94	98B6-98B6	3R:27954917..27957326(1)
Dmel	CG4884	FBgn0039565	3-94	98B6-98B6	3R:27957356..27959245(-1)
Dmel	CG4849	FBgn0039566	3-94	98B6-98B6	3R:27963415..27966958(1)
Dmel	CG4815	FBgn0039568	3-94	98B7-98B7	3R:27989699..27990751(-1)
Dmel	UQCR-14L	FBgn0039576	3-95	98C3-98C3	3R:28294048..28294550(1)
Dmel	CG12516	FBgn0039577	3-95	98C3-98C3	3R:28303631..28304605(-1)
Dmel	Gfat2	FBgn0039580	3-95	98C4-98C4	3R:28337019..28339765(-1)
Dmel	Moca-cyp	FBgn0039581	3-95	98C4-98C4	3R:28340334..28345169(1)
Dmel	Or98b	FBgn0039582	3-95	98C4-98C4	3R:28352242..28353620(1)
Dmel	beat-VI	FBgn0039584	3-96	98D1-98D2	3R:28418208..28474814(1)
Dmel	Myst5	FBgn0039585	3-96	98D2-98D2	3R:28484557..28486062(1)
Dmel	mIF2	FBgn0039588	3-96	98D4-98D4	3R:28542274..28544817(-1)
Dmel	CG9986	FBgn0039589	3-96	98D6-98D6	3R:28606079..28608372(1)
Dmel	CG10011	FBgn0039590	3-96	98D6-98D7	3R:28607939..28635099(-1)
Dmel	CG9988	FBgn0039591	3-96	98D7-98D7	3R:28636411..28638799(1)
Dmel	CG14062	FBgn0039592	3-96	98D7-98D7	3R:28641585..28642891(-1)
Dmel	Sid	FBgn0039593	3-97	98E1-98E1	3R:28670704..28672021(1)
Dmel	snu	FBgn0039594	3-97	98E1-98E2	3R:28675041..28695939(1)
Dmel	AstA-R2	FBgn0039595	3-97	98E2-98E3	3R:28737109..28744782(-1)
Dmel	CG10000	FBgn0039596	3-97	98E3-98E3	3R:28748384..28751661(-1)
Dmel	CG9997	FBgn0039597	3-97	98E3-98E3	3R:28755484..28756979(-1)
Dmel	aqrs	FBgn0039598	3-97	98E3-98E3	3R:28756999..28758234(-1)
Dmel	intr	FBgn0039599	3-97	98E4-98E4	3R:28790522..28791461(1)
Dmel	Prp39	FBgn0039600	3-97	98E5-98E5	3R:28812102..28817354(1)
Dmel	CG1523	FBgn0039601	3-97	98E5-98E5	3R:28817342..28819668(-1)
Dmel	CG1647	FBgn0039602	3-97	98E5-98E5	3R:28820221..28824508(1)
Dmel	Nepl17	FBgn0039609	3-97	98F1-98F1	3R:28872905..28875031(1)
Dmel	Nepl18	FBgn0039611	3-97	98F1-98F1	3R:28875621..28877805(1)
Dmel	Nepl19	FBgn0039612	3-97	98F1-98F1	3R:28878024..28880122(-1)
Dmel	Nepl20	FBgn0039613	3-97	98F1-98F1	3R:28880792..28882945(1)
Dmel	CG11828	FBgn0039616	3-97	98F2-98F2	3R:28923044..28925086(1)
Dmel	DIP-gamma	FBgn0039617	3-97	98F2-98F4	3R:28925004..28970372(-1)
Dmel	CG14520	FBgn0039618		98F4-98F4	
Dmel	CG14519	FBgn0039619		98F5-98F5	
Dmel	wat	FBgn0039620	3-97	98F5-98F5	3R:28992977..29020406(-1)
Dmel	CG14518	FBgn0039621	3-97	98F5-98F5	3R:29024971..29026159(1)
Dmel	eIF4E6	FBgn0039622	3-97	98F5-98F5	3R:29026439..29027174(-1)
Dmel	CG1951	FBgn0039623	3-97	98F5-98F5	3R:29027236..29030938(1)
Dmel	beta4GalNAcTB	FBgn0039625	3-97	98F5-98F5	3R:29032660..29034008(-1)
Dmel	Slu7	FBgn0039626	3-97	98F5-98F6	3R:29037058..29039071(-1)
Dmel	CG11837	FBgn0039627	3-97	98F6-98F6	3R:29049493..29050721(1)
Dmel	CG11841	FBgn0039628	3-97	98F6-98F6	3R:29051056..29052267(1)
Dmel	CG11842	FBgn0039629	3-97	98F6-98F6	3R:29052680..29053913(1)
Dmel	CG11843	FBgn0039630	3-97	98F6-98F6	3R:29054347..29055837(1)
Dmel	Sirt7	FBgn0039631	3-97	98F6-98F6	3R:29055927..29059204(1)
Dmel	Bicra	FBgn0039633	3-97	98F8-98F10	3R:29063040..29108948(1)
Dmel	alpha-Man-Ib	FBgn0039634	3-97	98F10-98F10	3R:29109053..29112822(-1)
Dmel	Pdhb	FBgn0039635	3-97	98F10-98F10	3R:29113071..29116197(1)
Dmel	Atg14	FBgn0039636	3-97	98F10-98F10	3R:29116391..29118390(1)
Dmel	Ctl2	FBgn0039637	3-97	98F10-98F12	3R:29123370..29128247(1)
Dmel	dgt6	FBgn0039638	3-97	98F12-98F12	3R:29128584..29130972(-1)
Dmel	Alg13	FBgn0039639	3-97	98F12-98F12	3R:29137970..29138573(-1)
Dmel	superdeath	FBgn0039640	3-97	98F12-98F12	3R:29138662..29145787(1)
Dmel	CG14511	FBgn0039641	3-97	98F12-98F12	3R:29145678..29146893(-1)
Dmel	CG11882	FBgn0039642	3-97	98F12-98F12	3R:29147016..29148172(-1)
Dmel	rdog	FBgn0039644	3-97	98F13-98F13	3R:29158122..29164966(1)
Dmel	CG11898	FBgn0039645	3-97	98F13-98F13	3R:29165643..29171508(1)
Dmel	jus	FBgn0039647	3-97	98F13-99A1	3R:29171191..29194994(-1)
Dmel	CG14515	FBgn0039648	3-98	99A1-99A1	3R:29197556..29199211(1)
Dmel	Mesh1	FBgn0039650	3-98	99A1-99A1	3R:29201756..29202525(-1)
Dmel	Cyt-c1L	FBgn0039651	3-98	99A1-99A1	3R:29202660..29204133(-1)
Dmel	Brd8	FBgn0039654	3-98	99A1-99A1	3R:29223485..29226276(1)
Dmel	CG14507	FBgn0039655	3-98	99A1-99A1	3R:29226204..29227725(-1)
Dmel	CG11951	FBgn0039656	3-98	99A1-99A1	3R:29235322..29238723(-1)
Dmel	CG14506	FBgn0039659	3-98	99A5-99A5	3R:29293743..29297180(-1)
Dmel	CG2321	FBgn0039663	3-99	99B1-99B1	3R:29484783..29489265(-1)
Dmel	CG2006	FBgn0039664	3-99	99B1-99B1	3R:29489468..29491383(1)
Dmel	CG2310	FBgn0039665	3-99	99B1-99B1	3R:29491524..29493518(-1)
Dmel	Diedel	FBgn0039666	3-99	99B1-99B1	3R:29493852..29494267(1)
Dmel	FipoQ	FBgn0039667	3-99	99B1-99B1	3R:29494782..29498923(1)
Dmel	Trc8	FBgn0039668	3-99	99B1-99B1	3R:29499025..29503797(-1)
Dmel	ND-20L	FBgn0039669	3-99	99B2-99B2	3R:29515717..29516527(1)
Dmel	CG7567	FBgn0039670	3-99	99B4-99B4	3R:29587237..29588104(-1)
Dmel	CG11470	FBgn0039671	3-99	99B4-99B4	3R:29588993..29589762(-1)
Dmel	CG7568	FBgn0039673	3-99	99B4-99B4	3R:29598670..29600862(-1)
Dmel	CG1907	FBgn0039674	3-99	99B5-99B5	3R:29619065..29620758(1)
Dmel	ppk21	FBgn0039675	3-99	99B6-99B6	3R:29664779..29666783(1)
